E-C,False,5548,BTEC,235,MICROSOFT WORD/WINDOWS,3,,*,Favinger C,,14-JAN-13,-1,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
Lec,False,5564,BTEC,253,MEDICAL TERMINOLOGY,3,M,0400 - 0645 pm,McNulty C,2215 (MAIN),14-JAN-13,6,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5565,BTEC,253,MEDICAL TERMINOLOGY,3,T,0400 - 0645 pm,McNulty C,1326 (MAIN),14-JAN-13,5,FULL TERM (14-JAN-13 - 10-MAY-13),Main
E-C,False,5572,BTEC,253,MEDICAL TERMINOLOGY,3,,*,Shah P,,14-JAN-13,5,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5573,BTEC,253,MEDICAL TERMINOLOGY,3,,*,Salyers K,,14-JAN-13,-3,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5320,BTEC,254,MEDICAL TRANSCRIPTION,3,,*,Babylon T,,14-JAN-13,5,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
Lec,False,5575,BTEC,255,MEDICAL BILLING,3,W,0700 - 0945 pm,Morris S,0414A (MAIN),14-JAN-13,13,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5576,BTEC,256,MEDICAL CODING,3,W,0400 - 0645 pm,Morris S,2539 (MAIN),14-JAN-13,12,FULL TERM (14-JAN-13 - 10-MAY-13),Main
E-C,False,5550,BTEC,265,MULTIMEDIA PRESENTATIONS,3,,*,Cross T,,14-JAN-13,4,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5551,BTEC,265,MULTIMEDIA PRESENTATIONS,3,,*,Cross T,,14-JAN-13,13,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5552,BTEC,270,INTRO TO WEB PAGE DESIGN,3,,*,Kinder A,,14-JAN-13,6,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5553,BTEC,270,INTRO TO WEB PAGE DESIGN,3,,*,Kinder A,,14-JAN-13,15,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5522,BTEC,275,ADVANCED MICRO APPS FOR BUS,3,,*,Davis S,,14-JAN-13,-5,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5555,BTEC,275,ADVANCED MICRO APPS FOR BUS,3,,*,Marlow B,,14-JAN-13,-2,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5557,BTEC,275,ADVANCED MICRO APPS FOR BUS,3,,*,Bennett J,,14-JAN-13,1,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5558,BTEC,295,PROF DEVELOPMENT SEMINAR,3,,*,Padon M,,14-JAN-13,4,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
Lec,False,5464,CHEM,111,INTRO TO GENERAL CHEMISTRY,4,T R,1230 - 0145 pm,Anderson S,1330 (MAIN),14-JAN-13,2,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5465,CHEM,111L,INTRO TO GEN CHEM LAB,0,W,0100 - 0245 pm,Cheng P,3323 (MAIN),14-JAN-13,2,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5593,CHEM,115,FUNDAMENTALS OF CHEMISTRY 1,4,M W,1230 - 0145 pm,Anderson S,1314 (MAIN),14-JAN-13,0,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5594,CHEM,115L,FUND OF CHEMISTRY 1 LAB,0,M,0200 - 0355 pm,Anderson S,3323 (MAIN),14-JAN-13,0,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5595,CHEM,116,FUNDAMENTALS OF CHEMISTRY 2,4,T R,1100 - 1215 pm,Anderson S,3303 (MAIN),14-JAN-13,5,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5596,CHEM,116L,FUND OF CHEMISTRY 2 LAB,0,T,0900 - 1055 am,Anderson S,3323 (MAIN),14-JAN-13,5,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5591,CHEM,234,ORGANIC CHEMISTRY 2,3,M W,0300 - 0415 pm,Cheng P,0132 (MAIN),14-JAN-13,14,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5592,CHEM,236,ORGANIC CHEMISTRY 2 LAB,1,T,1200 - 0255 pm,Cheng P,3305 (MAIN),14-JAN-13,14,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5468,CHEM,297,ST: CHEMICAL CALCULATIONS,4,T R,0930 - 1045 am,Cheng P,3303 (MAIN),14-JAN-13,5,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5470,CHEM,297,ST: CHEMICAL CALCULATIONS,4,W,0500 - 0725 pm,Cheng P,3303 (MAIN),14-JAN-13,15,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5471,CHEM,297,ST: CHEMICAL CALCULATIONS,4,M W,0930 - 1045 am,Anderson S,3303 (MAIN),14-JAN-13,11,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5472,CHEM,297L,ST: CHEMICAL CALCULATIONS LAB,0,R,0900 - 1055 am,Anderson S,3323 (MAIN),14-JAN-13,13,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5589,CHEM,297L,ST: CHEMICAL CALCULATIONS LAB,0,R,0100 - 0255 pm,Cheng P,3323 (MAIN),14-JAN-13,9,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5590,CHEM,297L,ST: CHEMICAL CALCULATIONS LAB,0,T,0500 - 0655 pm,Cheng P,3323 (MAIN),14-JAN-13,9,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5597,CHEM,410,INTRODUCTORY BIOCHEMISTRY,3,T R,0930 - 1045 am,Cordonier N,1314 (MAIN),14-JAN-13,14,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lab,False,5598,CHEM,412,INTRO BIOCHEMISTRY LAB,1,W,0900 - 1145 am,Cordonier N,3305 (MAIN),14-JAN-13,14,FULL TERM (14-JAN-13 - 10-MAY-13),Main
E-C,False,5165,CDEV,105,FAMILY & THE CHILD,3,,*,Elkins-Earl V,,14-JAN-13,5,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5166,CDEV,155,GUIDING YOUNG CHILDREN,3,,*,Blick J,,14-JAN-13,0,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5167,CDEV,205,YOUNG CHILDREN W/SPECIAL NEEDS,3,,*,Elkins-Earl V,,14-JAN-13,2,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5168,CDEV,210,CUR & STRAT EARLY CHLDHD PGMS,3,,*,Davis A,,14-JAN-13,1,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5169,CDEV,240,OBSERVATION & ASSESSMENT SKILL,3,,*,Mazzeo K,,14-JAN-13,0,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5171,CDEV,243,INFANT & TODDLER DEVELOPMENT,3,,*,Wolfe A,,14-JAN-13,4,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
Alt,False,5870,CDEV,251,CHILD DEVELOPMENT CAPSTONE 1,4,F,0900 - 1100 am,Stephens L,1329 (MAIN),14-JAN-13,14,FULL TERM (14-JAN-13 - 10-MAY-13),Main
E-C,False,5869,CDEV,255,CHILD DEVELOPMENT SEMINAR,3,,*,Stephens L,,14-JAN-13,13,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
Lec,False,5011,COMM,111,FUNDAMENTALS OF SPEECH,3,M W,0800 - 0915 am,Held M,2537 (MAIN),14-JAN-13,1,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5012,COMM,111,FUNDAMENTALS OF SPEECH,3,T R,0930 - 1045 am,Held M,2537 (MAIN),14-JAN-13,0,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5032,COMM,111,FUNDAMENTALS OF SPEECH,3,T R,1100 - 1215 pm,Korcsmaros K,2537 (MAIN),14-JAN-13,0,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5033,COMM,111,FUNDAMENTALS OF SPEECH,3,T R,0800 - 0915 am,Korcsmaros K,2537 (MAIN),14-JAN-13,1,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5055,COMM,111,FUNDAMENTALS OF SPEECH,3,T R,1230 - 0145 pm,Clifford M,2537 (MAIN),14-JAN-13,1,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5057,COMM,111,FUNDAMENTALS OF SPEECH,3,M,0400 - 0645 pm,Phillips S,2537 (MAIN),14-JAN-13,0,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5058,COMM,111,FUNDAMENTALS OF SPEECH,3,F,0200 - 0445 pm,Bell S,2537 (MAIN),14-JAN-13,2,FULL TERM (14-JAN-13 - 10-MAY-13),Main
E-C,False,5079,COMM,111,FUNDAMENTALS OF SPEECH,3,,*,Elser J,,14-JAN-13,0,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5078,COMM,111,FUNDAMENTALS OF SPEECH,3,,*,Elser J,,11-MAR-13,0,SECOND HALF TERM (11-MAR-13 - 10-MAY-13),Online or Blended
Lec,False,5873,COMM,111,FUNDAMENTALS OF SPEECH,3,M T W,0220 - 0310 pm,Null A,PHS (OFFCAM),22-JAN-13,14,LATE SEMESTER (High School) (22-JAN-13 - 10-MAY-13),High School Campus
Lec,False,5886,COMM,111,FUNDAMENTALS OF SPEECH,3,M T W R F,0800 - 0930 am,Goff R,RITCH (OFFCAM),22-JAN-13,8,LATE SEMESTER (High School) (22-JAN-13 - 10-MAY-13),High School Campus
Lec,False,5054,COMM,112,INTERPERSONAL COMMUNICATION,3,M,0700 - 0945 pm,Phillips S,2537 (MAIN),14-JAN-13,1,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5056,COMM,112,INTERPERSONAL COMMUNICATION,3,M W,0930 - 1045 am,Clifford M,2537 (MAIN),14-JAN-13,0,FULL TERM (14-JAN-13 - 10-MAY-13),Main
E-C,False,5081,COMM,112,INTERPERSONAL COMMUNICATION,3,,*,Oblisk H,,14-JAN-13,2,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5082,COMM,112,INTERPERSONAL COMMUNICATION,3,,*,Bell S,,14-JAN-13,2,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5152,COMM,112,INTERPERSONAL COMMUNICATION,3,,*,Oblisk H,,14-JAN-13,2,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5080,COMM,112,INTERPERSONAL COMMUNICATION,3,,*,Oblisk H,,11-MAR-13,0,SECOND HALF TERM (11-MAR-13 - 10-MAY-13),Online or Blended
Lec,False,5757,COMM,212,AMERICAN SIGN LANGUAGE 2,3,W,0700 - 0945 pm,Leisure E,2317 (MAIN),14-JAN-13,13,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Alt,False,5029,COMM,281,CONTEST SPEAK: PREPARED EVENTS,1,,TBA,Korcsmaros K,,14-JAN-13,-5,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Alt,False,5030,COMM,282,CONTEST SPEAK: ORIGINAL EVENTS,1,,TBA,Korcsmaros K,,14-JAN-13,-5,FULL TERM (14-JAN-13 - 10-MAY-13),Main
